Control_1 Control_2 Control_3 Control_4 dazl_1 dazl_2 dazl_3 dazl_4
ENSDARG00000001559 0.1341178 0.0309477 0.0633395 0 0.189118 0.133075 0.0804151 0.036967
ENSDARG00000001572 0.0310513 0 0.0172684 0 0 0.0544156 0.0534403 0.0349433
ENSDARG00000001578 35.9862 34.6671 38.0802 39.3 42.9986 44.8428 44.9691 46.8765
ENSDARG00000001621 6.65375 4.52727 9.04314 7.01416 11.82834 10.80467 10.01461 10.74866
ENSDARG00000001634 7.38514 7.75747 7.53866 6.64351 8.79263 8.90067 11.08212 10.25331
ENSDARG00000001656 0 0 0 0 0 0.13062 0.160366 0.0943408
ENSDARG00000001676 11.2246 12.69594 18.5659 11.82699 31.33129 31.9683 18.32418 14.3947
ENSDARG00000001686 0.928995 0.920571 1.15084 0.975171 0.579202 0.809759 1.0408 0.809694
ENSDARG00000001710 10.8574 13.7149 18.3311 15.5424 22.0623 20.3648 21.2081 17.4626
ENSDARG00000001712 1.568003 1.17875 1.596895 1.4268982 2.294651 2.401677 1.471411 1.01599
ENSDARG00000001721 10.1569 10.1323 13.208 11.57 20.999728 19.6729475 14.6394 13.4829
ENSDARG00000001729 25.1379 24.5652 30.4647 23.197 39.2195 39.1291 34.5738 30.4165
ENSDARG00000001733 10.773875 12.97691085 10.9340491 11.1535764 12.7838846 13.016184 12.3763107 17.3570349
ENSDARG00000001734 3.49303 4.08064 6.10285 5.19277 8.9366 7.44492 6.91116 7.866
ENSDARG00000001754 19.344542 19.3232953 26.39121 21.72303 38.942584 36.139509 34.125213 33.962587
ENSDARG00000001760 0.4724345 0.4519446 0.4002533 0.4029007 0.3504623 0.3910655 0.674987 0.5640949
ENSDARG00000001767 13.47363 11.96484 10.99969 7.93498 11.49829 10.61425 14.67402 12.08552
ENSDARG00000001769 1.30644 0.82343 2.9294 0.846247 5.55121 5.37842 3.58515 3.05172
ENSDARG00000001771 0.0773669 0.13564 0.0428418 0.0361475 0.0697312 0 0.0441944 0.130026
ENSDARG00000001776 0.497079 0.337772 0.641551 0.408445 0.740888 0.869577 0.540818 0.64228
ENSDARG00000001777 6.39999 5.800297 14.42811 9.269154 28.23572 27.94484 18.07089 14.27089
ENSDARG00000001781 0.919504 1.024527 5.313299 1.692287 5.982561 6.421316 4.126494 2.236968
ENSDARG00000001782 1.10478 1.68034 2.22703 1.73747 3.05174 2.62217 3.83561 2.62624
ENSDARG00000001785 5.257618 4.6533401 4.6744077 3.325015 4.9958425 4.9273006 4.9587456 4.956891
ENSDARG00000001788 219.818118 356.637265 476.630323 511.354982 516.524181 500.217449 413.138007 365.62835
ENSDARG00000001803 0.624626 0.640836 0.5640467 0.545499 0.6390338 0.937992 0.830987 0.739268
ENSDARG00000001804 0.547042 1.209068 3.0895531 2.60748 2.9579196 2.032335 2.6371959 2.373051
ENSDARG00000001807 1.29671 1.48838 1.9817 1.5005 2.29947 2.00968 2.47094 2.44307
ENSDARG00000001817 0.262715 0.201251 0.564739 0.704194 1.70677 1.58584 1.15477 1.41335
ENSDARG00000001818 1.07273 0.685273 1.13789 0.315518 0.629558 0.508944 0.782271 0.471973
ENSDARG00000001825 0.830687 0.519649 0.650848 0.300794 0.706285 0.640472 0.852022 1.0225
ENSDARG00000001829 71.551339 51.322448 53.215403 38.370173 45.469017 39.950913 58.823889 50.479397
ENSDARG00000001835 2.713907 1.647463 1.906481 1.4840593 2.0795042216 3.20329291 2.844546 1.568098
ENSDARG00000001857 2.008538 0.553898 2.55126 0.547226 5.457285 5.768686 4.02576 9.899365
ENSDARG00000001859 21.9847 20.6207 16.1266 16.761 24.0178 21.0849 21.9076 21.4783
ENSDARG00000001870 14.2962819 14.31531 16.54968 14.1452 15.203093 15.9491961 16.065813 12.828832
ENSDARG00000001873 35.6852 44.168 47.1302 50.0539 73.6574 70.0166 51.0051 50.5818
ENSDARG00000001879 5.99708 5.70213 6.78579 4.06126 7.42724 6.6167 7.17252 5.77399
ENSDARG00000001880 4.669994 4.307849 4.082719 4.0393699 4.827204 5.32792 6.772408 5.042668
ENSDARG00000001881 0 0 0 0 0.156783 0 0.0535952 0.0146214
ENSDARG00000001882 0.46998 0.496898 0.636181 0.4343653 0.627066 0.7797046 0.521781 0.35595
ENSDARG00000001888 2.91394 2.33165 3.56772 2.08769 6.09109 5.74974 7.1750693 5.896186
ENSDARG00000001889 772.335 607.776 636.895 675.909 835.859 780.942 677.043 652.508
ENSDARG00000001890 19.130685 20.565672 32.547911 25.533894 43.870033 44.049962 32.77073 32.588918
ENSDARG00000001891 0.2206609 0.1883266 0.33126 0.2500199 0.2819316 0.1977078 0.209096 0.263697
ENSDARG00000001897 6.7045 6.973414 8.6165403 5.75632 9.7035529 10.467499 11.808488 10.894029
ENSDARG00000001898 2.41111 1.947231 4.20748 2.4611185148 4.96215 3.9988 5.63337 4.36189
ENSDARG00000001906 0.10468 0.0512617 0.161616 0.0786207 0.154276 0.15258 0.147892 0.075176
ENSDARG00000001909 1.28469 0.717434 0.59284 0.313941 0.289224 0.365889 0.526079 0.304944
ENSDARG00000001910 3.32596 3.33225 3.657334 3.04527 4.908363 4.139247 3.532255 3.243197
ENSDARG00000001912 0.380059 0.332705 0.460544 0.236322 0.410485 0.4759839 0.394012 0.354104
ENSDARG00000001913 4.1862617 4.8338717 5.9082999 4.3169711 6.8934358 9.68492 5.1341914 3.2835377
ENSDARG00000001929 2.66217 2.37829 2.34105 1.80985 2.46307 2.17668 1.78943 1.9107
ENSDARG00000001930 2.838571 2.794165 4.316797 2.6909631 6.610792 6.123498 5.768301 6.197745
ENSDARG00000001933 1.219245 1.005352 1.156041 0.5977674 1.156739 1.535203 0.870556 0.7627305
ENSDARG00000001937 4.24849 3.43006 3.11705 2.33986 4.215 4.37375 3.51751 3.17765
ENSDARG00000001939 6.8239749 7.074968 9.64824 6.89678 10.0306005 10.653039 9.197229 10.377246
ENSDARG00000001940 51.040163 36.157042 48.634371 44.799493 51.615891 53.345193 54.543924 65.965626
ENSDARG00000001950 202.7175 301.2158 419.984 551.075 386.888 432.386 255.1216 189.5013
ENSDARG00000001953 6.418473 4.37207 9.681915 5.014138 10.77234 11.89062 4.545634 3.849539
ENSDARG00000001968 0.128538 0.0388899 0.192956 0.0952306 0.174436 0.208324 0.243274 0.656364
ENSDARG00000001969 7.2774 7.8950513 9.1632931 7.6644037 12.9012 11.7166 11.0264 12.9927
ENSDARG00000001971 0.394561 0.3132592 0.6117753 0.03315 0.698348 0.250619 0.4462763 0.2571802
ENSDARG00000001975 0.421675 0.602416 0.78584 0.684538 0.826353 0.520678 0.586153 0.721785
ENSDARG00000001976 3.11993 2.4414 12.5449 7.14127 2.36636 3.2885 2.71738 4.34693
ENSDARG00000001993 0.486317 0.312774 0.207919 0.0943965 0.104525 0.14916 0.292949 0.292545
ENSDARG00000001994 18.817599 20.260433 22.3313748 18.83314 27.73792 28.46251 25.23262 21.82797
ENSDARG00000001999 2.64333 2.52403 4.0331 2.19654 4.26355 4.336658 4.590907 3.49833
ENSDARG00000002002 1.66828 1.95414 2.575612 1.87964 3.030527 3.30849 2.00366 2.32287
ENSDARG00000002006 2.646086 3.0685982 3.641487 2.548328 4.871118 5.595238 4.482602 3.9904032
ENSDARG00000002013 0.731302 0.47617 1.84489 0.577584 2.71998 2.66612 1.9975 1.48219
ENSDARG00000002016 10.8126 12.0834 16.6985 15.4398 27.233 26.6609 18.9191 22.6706
ENSDARG00000002020 2.275539 2.108825 1.9085475 1.32325307 2.4418317 1.9009938 2.7233573 2.3492137
ENSDARG00000002021 1.45246 1.06928 1.88049 1.09969 2.49402 2.69945 1.78594 2.06383
ENSDARG00000002026 3.0956492 1.781665 3.248794 1.534982 6.85714 6.0501067225 3.608573 0.9027729
ENSDARG00000002031 10.7358 8.57766 11.789 10.4696 20.9744 19.6258 15.1754 17.2593
ENSDARG00000002037 1.352099 1.345225 1.156343 0.578454 1.488247 2.3878453012588 2.2288259 2.4417615
ENSDARG00000002060 2.771096306 1.871384836 3.307848 2.839721 4.438011 3.86998500644432 3.6837682 8.07374600440263
ENSDARG00000002071 1.25845 0.668383 2.46014 1.30804 6.68869 9.48536 2.13472 1.15678
ENSDARG00000002077 8.13845 8.63338 10.6761 8.52604 13.4149 13.265 10.5164 11.5843
ENSDARG00000002082 58.3239952 60.843725 89.069713 72.665346 133.054216 126.236232 90.176523 86.716794
ENSDARG00000002084 9.6438 7.04584 8.31022 6.11939 11.8123 14.3168 7.9909 4.96488
ENSDARG00000002097 0.324106 0.225146 0.139156 0.108149 0.305579 0.274472 0.362955 0.201398
ENSDARG00000002127 12.6994 12.7759 11.854 10.0870386 19.3176 18.1739 18.2552 21.8366
ENSDARG00000002128 10.359 11.6752 16.3308 15.1278 20.4236 21.1485 19.0715 20.3715
ENSDARG00000002131 2.933105 2.02959 5.409119 3.07473870158309 17.125547 16.112121778 6.879863 3.690888
ENSDARG00000002165 0.94492 0.796228 1.457279 0.989728 0.841318 1.22203 1.60376 1.667558
ENSDARG00000002167 2.2991275 1.5640322 3.2994631 1.6927098 5.899868 7.2753535 2.9076878 2.624917
ENSDARG00000002168 79.13509 63.875748 67.299462 61.581836 77.899105 72.941601 73.810988 74.0274
ENSDARG00000002172 12.0636 9.40784 16.5654 12.4382 14.6783 13.1787 11.989 13.2284
ENSDARG00000002174 7.64089 6.87246 8.50105 9.16006 9.15285 9.06795 9.47373 9.6919
ENSDARG00000002184 12.280867 15.072785 20.2527927 16.3952 26.782213 25.484081 24.094638 26.5335613
ENSDARG00000002190 29.8567 29.4359 41.2537 35.6658 41.158 39.5757 38.9819 43.1524
ENSDARG00000002192 0.337 0.407465 0.5951632 0.357689 0.748218 0.8969811221 0.382986 0.724276
ENSDARG00000002193 0 0.076089 0.0210273 0 0.0228165 0 0.0216911 0
ENSDARG00000002194 0.664132 1.27915 2.00081 1.24549 2.5491 1.81375 2.14798 1.39006
ENSDARG00000002196 2.12505 2.55086 4.03843 2.73524 3.8969 3.82436 3.35885 2.64884
ENSDARG00000002197 1.94204 1.650681 2.16135 2.1085 2.60684 1.92013 1.92121 4.29275
ENSDARG00000002204 7.2803 9.96787 19.9233 20.2436 18.7513 22.709 18.868 8.72089
ENSDARG00000002210 2.922835 2.909635 4.202981 4.0756002 4.66644 4.322827 3.544554 2.70282
ENSDARG00000002213 1.1399800014311 0.780873 1.267803 1.02115 2.107029 1.94491 1.59437 1.51526
ENSDARG00000002215 57.920433 55.114279 61.25269 51.978889 82.946654 78.578675 71.685169 74.306933
ENSDARG00000002216 4.90753 6.02052 6.57378 4.66827 6.83925 6.49503 6.86704 5.70981
ENSDARG00000002217 16.0716 17.8679 20.3899 15.5838 25.4038 25.4461 26.6595 24.1145
ENSDARG00000002219 0.353974 0.403144 0.583398 0.22044 0.366463 0.451539 0.285068 0.38835
ENSDARG00000002220 11.5069 15.3729 18.1324 19.2376 22.993 30.1818 20.4165 28.0515
ENSDARG00000002230 5.67325 5.321453 5.52476 4.8603 4.95213 5.221579 5.98492 6.79721
ENSDARG00000002231 0.12835 0.127539 0.423444 0.0713729 0.520797 0.385451 0.553303 0.628201
ENSDARG00000002235 5.92725 7.64061 9.5389 7.88699 11.0748 11.9353 9.96706 7.99352
ENSDARG00000002240 97.7438 174.0345 201.1918 211.14 244.0112 241.5769 220.636 200.7021
ENSDARG00000002241 0.00994908 0.00996009 0.0110117 0 0.0955911 0.0809638 0.0227188 0.0334203
ENSDARG00000002249 1.021 1.04467 1.7788 1.15057 1.56808 1.53273 1.53389 1.40616
ENSDARG00000002255 5.6377237 4.6956732 4.4162808 3.88341 5.342682 5.380585 6.67176 5.3366978
ENSDARG00000002259 0 0 0 0 0 0 0 0
ENSDARG00000002264 34.1928 35.83224 51.325 52.87257 52.74646 52.74753 45.04083 41.7126
ENSDARG00000002267 28.547344 30.507049 42.309137 35.741379 47.783469 45.860954 42.256704 48.129898
ENSDARG00000002271 45.071884 42.463429 47.149671 48.244093 67.607424 66.570654 59.957235 73.559052
ENSDARG00000002285 2.68181 3.62808 3.45823 2.84788 4.93349 4.52671 5.74797 5.90268
ENSDARG00000002293 3.41458 2.0837 3.30653 2.42034 2.92212 2.99098 2.76965 2.73215
ENSDARG00000002295 0.122556 0.0498333 0.100795 0.0464856 0.0994104 0.221385 0.24576 0.148365
ENSDARG00000002298 0.75104 1.26797 1.73947 1.82532 1.4241 1.15388 2.04627 5.46341
ENSDARG00000002299 1.72826 0.910372 2.874705 1.197457 3.05082 4.57136 1.817917 0.7921908
ENSDARG00000002300 2.06675 1.39363 1.85276 1.16405 1.31922 1.41644 1.79268 1.91012
ENSDARG00000002304 18.917 26.7177 39.9753 41.3777 54.3052 48.8219 42.5991 37.7972
ENSDARG00000002305 13.6052 14.1195 12.7702 14.4758 24.9216 24.6622 20.2034 25.8002
ENSDARG00000002311 0.871244 1.25988 1.06057 1.21478 0.395109 0.562787 0.486246 0.208078
ENSDARG00000002330 0.7030384 0.351817 0.5211745 0.638074 0.633052 0.544699 0.857441 1.665858
ENSDARG00000002332 5.1478086 5.833014 7.541927 5.109799 9.215537 8.950779 8.721176 7.434645
ENSDARG00000002333 0.961664 0.501332 1.92889 0.59854 3.60872 3.44657 2.19563 1.57007
ENSDARG00000002336 36.03537 25.63562 25.42514 14.13961 23.3208 18.6837 26.04627 19.46908
ENSDARG00000002339 7.132746 7.63889 6.997633 6.0536562 8.673058 6.549627 12.032884 11.5857545
ENSDARG00000002344 332.59524 376.35586 711.81875 638.39775 844.16428 806.91302 537.27234 429.36919
ENSDARG00000002347 0.0389595 0.231889 0.821319 0.428279 0.752855 0.669491 2.00469 5.6696614
ENSDARG00000002353 1.21686 0.502226 0.621475 0.415183 0.667774 0.529373 0.868323 1.208289
ENSDARG00000002355 0.263057 0.121492 0.714903 0.250512 0.639242 0.713819 0.600467 0.741171
